Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
Yes,Not_Travel,Marketing,Master,3,Female,4,1,Human Resources Manager,1,Married,No,5.65,4,36.96,6,2,1.69,9.07,17.88
No,Travel_Rarely,Sales,Bachelor,1,Male,4,2,Sales Representative,4,Single,No,4.53,5,14.82,1,3,1.98,13.37,4.22
No,Not_Travel,Marketing,Master,4,Male,2,1,Marketing Specialist,4,Married,No,3.96,2,5.04,5,5,13.06,7.43,3.36
Yes,Not_Travel,Finance,Doctor,3,Female,4,4,Marketing Specialist,3,Divorced,No,2.65,4,0.91,6,2,1.29,14.67,13.14
Yes,Not_Travel,Research,Bachelor,2,Female,1,2,Sales Representative,3,Married,No,3.82,2,14.55,3,5,24.18,16.15,15.08
Yes,Travel_Frequently,Marketing,Bachelor,3,Male,4,1,Human Resources Manager,3,Married,Yes,2.75,1,29.77,7,5,2.2,7.83,16.18
No,Not_Travel,Research,Doctor,2,Female,2,2,Human Resources Manager,2,Divorced,No,6.47,3,24.03,1,1,28.77,13.71,5.43
Yes,Not_Travel,Human Resources,Doctor,4,Male,1,5,Research Scientist,4,Divorced,No,4.78,4,24.37,7,3,12.73,3.72,1.16
No,Travel_Rarely,Sales,Doctor,4,Male,3,1,Marketing Specialist,3,Married,No,6.49,1,16.18,3,4,7.15,17.31,8.81
Yes,Travel_Frequently,Marketing,Doctor,4,Male,2,1,Marketing Specialist,3,Divorced,No,6.29,3,35.61,8,3,23.85,3.5,12.31
Yes,Not_Travel,Human Resources,Doctor,1,Male,2,5,Sales Representative,2,Divorced,Yes,9.8,2,12.71,3,5,14.11,11.94,12.37
Yes,Travel_Frequently,Sales,Doctor,4,Female,5,5,Sales Representative,4,Married,No,8.52,1,9.42,3,3,3.56,15.79,6.81
No,Not_Travel,Human Resources,Bachelor,1,Female,2,5,Marketing Specialist,1,Married,Yes,0.87,3,29.33,5,2,1.73,2.57,2.25
No,Travel_Frequently,Finance,Doctor,3,Male,2,4,Finance Manager,1,Single,Yes,6.58,5,1.6,1,4,12.79,15.58,2.51
Yes,Not_Travel,Human Resources,Doctor,2,Female,1,3,Finance Manager,2,Married,Yes,7.24,3,21.09,3,2,22.85,14.54,5.69
Yes,Travel_Frequently,Research,Bachelor,4,Male,1,3,Research Scientist,1,Divorced,Yes,3.41,5,17.2,7,5,26.78,15.49,1.42
No,Travel_Rarely,Human Resources,Master,4,Female,1,5,Marketing Specialist,3,Married,No,7.39,2,26.39,8,1,20.63,16.53,12.94
Yes,Not_Travel,Marketing,Master,4,Male,3,2,Human Resources Manager,2,Single,No,1.35,2,9.42,6,3,9.92,17.15,4.05
Yes,Travel_Frequently,Research,Bachelor,3,Female,4,1,Finance Manager,3,Divorced,No,8.79,2,14.88,7,5,15.57,6.7,12.69
Yes,Travel_Frequently,Finance,Doctor,1,Female,1,4,Research Scientist,4,Divorced,No,7.12,4,31.09,5,2,0.16,3.6,5.71
No,Travel_Frequently,Sales,Doctor,2,Male,4,4,Marketing Specialist,4,Married,No,7.58,1,33.54,8,5,22.01,6.07,14.21
No,Travel_Rarely,Sales,Doctor,1,Female,3,1,Marketing Specialist,1,Divorced,Yes,4.27,4,19.68,8,2,28.87,18.78,16.07
No,Travel_Rarely,Sales,Master,3,Female,4,2,Research Scientist,4,Divorced,No,4.11,2,36.84,5,2,18.68,18.04,4.51
No,Travel_Rarely,Research,Doctor,4,Male,5,3,Sales Representative,1,Divorced,Yes,9.39,4,0.69,1,3,3.23,8.01,16.87
No,Travel_Frequently,Finance,Bachelor,3,Female,5,2,Marketing Specialist,1,Married,Yes,2.86,3,30.78,6,3,2.21,1.55,4.86
No,Travel_Rarely,Marketing,Master,1,Female,5,5,Sales Representative,3,Married,No,8.79,1,0.1,5,2,5.57,19.3,6.83
Yes,Travel_Frequently,Sales,Doctor,1,Female,3,4,Marketing Specialist,3,Married,Yes,6.13,2,26.69,5,3,28.02,0.12,3.12
No,Travel_Rarely,Finance,Bachelor,4,Male,2,5,Finance Manager,4,Single,No,5.81,2,38.2,1,4,21.03,14.67,3.27
Yes,Travel_Frequently,Sales,Master,1,Male,5,5,Research Scientist,4,Married,Yes,0.65,4,7.4,8,4,21.34,1.31,9.77
No,Travel_Frequently,Finance,Bachelor,4,Female,4,5,Sales Representative,2,Married,No,7.18,3,17.24,9,1,19.25,13.1,3.14
Yes,Travel_Rarely,Finance,Master,4,Male,2,4,Finance Manager,4,Married,No,8.01,5,23.51,7,5,23.11,16.91,1.89
No,Not_Travel,Research,Bachelor,2,Female,1,2,Finance Manager,1,Married,No,9.26,2,25.95,2,1,20.33,8.62,7.13
No,Travel_Rarely,Research,Master,2,Male,3,1,Finance Manager,4,Divorced,Yes,5.84,2,36.4,8,4,18.05,7.66,1.11
No,Not_Travel,Research,Bachelor,4,Male,2,2,Human Resources Manager,2,Single,No,3.26,2,11.23,5,4,12.68,5.96,1.58
Yes,Not_Travel,Sales,Bachelor,4,Male,5,3,Sales Representative,4,Single,No,4.24,5,28.02,5,2,5.3,15.24,16.52
Yes,Travel_Frequently,Research,Master,1,Female,5,5,Human Resources Manager,3,Divorced,Yes,9.88,2,29.76,8,3,21.33,11.65,4.63
No,Travel_Rarely,Sales,Master,2,Female,5,2,Finance Manager,2,Single,No,7.12,4,23.82,9,1,24.03,8.77,1.62
Yes,Travel_Frequently,Marketing,Bachelor,1,Male,1,3,Research Scientist,4,Single,Yes,0.52,3,36.72,1,4,25.58,6.53,1.59
Yes,Travel_Rarely,Human Resources,Bachelor,1,Female,3,3,Research Scientist,3,Divorced,No,1.81,5,18.67,9,2,3.37,8.42,1.33
Yes,Not_Travel,Sales,Doctor,3,Male,5,1,Human Resources Manager,1,Single,No,3.42,5,1.86,2,1,6.62,9.42,18.19
No,Not_Travel,Marketing,Doctor,1,Female,1,1,Sales Representative,4,Married,No,1.41,2,1.11,9,3,18.57,5.88,8.05
Yes,Not_Travel,Finance,Doctor,3,Male,3,3,Sales Representative,1,Married,Yes,1.92,5,21.28,1,5,3.8,1.4,16.63
Yes,Not_Travel,Marketing,Master,4,Male,5,1,Marketing Specialist,2,Divorced,No,7.45,4,27.41,8,1,4.62,7.18,1.06
No,Not_Travel,Finance,Doctor,4,Female,1,4,Human Resources Manager,1,Divorced,Yes,1.88,3,24.14,9,1,15.2,8.71,16.38
No,Not_Travel,Marketing,Master,4,Female,5,3,Human Resources Manager,4,Divorced,No,7.4,3,1.34,2,3,20.24,15.4,19
Yes,Travel_Rarely,Research,Bachelor,4,Female,1,3,Finance Manager,4,Married,Yes,1.53,3,4.07,1,3,5.82,6.35,15.62
No,Not_Travel,Sales,Doctor,2,Female,4,4,Finance Manager,4,Single,No,4.6,1,31.24,4,2,2.69,14.29,5.13
No,Travel_Rarely,Marketing,Master,3,Female,2,4,Sales Representative,1,Married,Yes,8.83,4,18.94,1,4,18.03,4.81,3.83
Yes,Travel_Rarely,Finance,Master,2,Male,4,3,Human Resources Manager,1,Divorced,No,7.2,3,35.61,4,1,5.81,1.34,14.46
Yes,Travel_Rarely,Research,Doctor,1,Female,3,4,Finance Manager,3,Single,No,2.03,1,38.62,6,2,17.78,15.94,8.05
No,Travel_Frequently,Finance,Master,4,Female,1,2,Research Scientist,2,Married,Yes,5.9,3,17.47,5,5,28.79,3,17.17
Yes,Travel_Rarely,Research,Master,1,Male,1,3,Sales Representative,3,Single,Yes,3.7,1,6.51,4,3,6.14,0.36,14.49
No,Travel_Frequently,Human Resources,Master,3,Female,1,3,Finance Manager,3,Married,Yes,1.36,2,7.87,6,4,2.56,8.87,6.64
No,Travel_Frequently,Finance,Doctor,1,Male,1,1,Research Scientist,4,Divorced,Yes,7.01,2,11.35,2,1,12.99,17.78,17.75
Yes,Not_Travel,Finance,Master,4,Female,2,1,Marketing Specialist,2,Married,Yes,2.56,2,31.82,1,2,12.99,2.53,6.47
Yes,Not_Travel,Research,Bachelor,2,Female,5,4,Sales Representative,4,Married,Yes,6.07,5,26.58,1,2,2.89,14.87,0.53
No,Travel_Rarely,Finance,Doctor,2,Male,2,3,Research Scientist,4,Divorced,Yes,9.7,5,6.9,7,1,28.23,8.83,7.54
No,Not_Travel,Finance,Doctor,4,Female,1,2,Human Resources Manager,4,Single,Yes,2.69,5,33.03,3,3,29.52,12.96,11.97
Yes,Travel_Frequently,Research,Bachelor,1,Female,3,1,Research Scientist,2,Divorced,Yes,6.68,5,39.13,1,5,19.48,19.96,16.97
No,Travel_Frequently,Finance,Bachelor,1,Male,1,2,Research Scientist,3,Married,Yes,9.32,5,26.22,9,3,3.79,17.98,16.74
Yes,Not_Travel,Marketing,Doctor,2,Male,5,2,Sales Representative,1,Married,No,6.69,1,19.98,9,4,27.34,5.15,1.67
Yes,Travel_Rarely,Marketing,Doctor,3,Female,5,4,Research Scientist,2,Divorced,No,4.61,2,13.64,1,5,25.85,15.13,16.77
Yes,Not_Travel,Marketing,Bachelor,1,Female,3,1,Research Scientist,4,Single,Yes,7.68,4,21.52,4,5,8.74,1.84,12.83
No,Travel_Rarely,Human Resources,Bachelor,2,Male,1,3,Finance Manager,1,Divorced,Yes,5.93,2,1.91,1,5,24.9,19.42,19.48
